Россия, Москва, улица Лобачевского, 2;1;новый;48;монолит;4;43.2;18.6;нет;15;;20990924
Россия, Москва, бульвар Сенкевича;3;новый;22;монолит;5;83.3;14.8;есть;17;;26561872
Россия, Москва, жилой комплекс Остров, 2-й квартал;1;новый;11;монолит;3;43.02;17.8;нет;15;без отделки;25026000
Россия, Москва, проспект Мира, 188;2;старый;12;панельный;2;48.7;9.5;есть;16;современный ремонт;14400000
Россия, Москва, 3-й проезд Марьиной Рощи, 40с1;студия;старый;15;монолит;5;19.1;;нет;6;муниципальный ремонт;4390000
Россия, Москва, Сельскохозяйственная улица, 17к5;студия;старый;5;кирпич;4;15.1;;нет;17;без отделки;4001500
Россия, Москва, Поклонная улица, 9;3;новый;32;монолит;10;85.7;;нет;12;без отделки;100912520
Россия, Москва, улица Солянка, 1/2с1;4;старый;6;кирпич;2;150;18;нет;3;;60000000
Россия, Москва, Ленинский проспект, 41/2;3;старый;9;кирпич;9;69.1;7.4;есть;7;;26500000
Россия, Москва, Ленинградское шоссе, 69;5;новый;20;монолит;16;152.16;18.45;нет;8;;68050000
Россия, Москва, Мичуринский проспект, 6к2;6;старый;17;монолит;17;327.3;30;нет;13;;139396336
Россия, Москва, улица Милашенкова, 16;3;старый;14;панельный;3;84;12;нет;12;;22800000
Россия, Москва, Багратионовский проезд, 5;2;новый;11;монолит;2;76.41;;нет;8;без отделки;42715100
Россия, Москва, Большая Садовая улица, 3с7;4;старый;5;кирпич;3;90;19.4;нет;7;современный ремонт;48000000
Россия, Москва, улица Главмосстроя, 10;2;старый;25;панельный;11;86.3;14;есть;14;муниципальный ремонт;22000000
Россия, Москва, Северный административный округ, район Беговой, жилой комплекс Слава, к3;1;новый;8;монолит;5;46.2;8;нет;6;без отделки;27258000
Россия, Москва, Елецкая улица, 35к2;1;старый;9;монолит;6;35.4;9;есть;17;муниципальный ремонт;10500000
Россия, Москва, проезд Дежнёва, 9к1;3;старый;12;панельный;10;68.5;6.3;нет;17;муниципальный ремонт;14500000
Россия, Москва, 2-я Хуторская улица, 34;2;новый;54;монолит;50;65.79;4.42;нет;9;без отделки;26957056
Россия, Москва, Московский, 1-й микрорайон, 13;2;старый;5;панельный;3;45;7;есть;15;муниципальный ремонт;8600000
Россия, Москва, Малая Бронная улица, 10с1;5;старый;4;кирпич;4;101;10;есть;9;;51000000
Россия, Москва, Багратионовский проезд, 5;3;новый;41;монолит;8;97.2;17.3;нет;8;современный ремонт;39949200
Россия, Москва, Октябрьский переулок, 12;1;старый;17;панельный;13;20;;нет;11;современный ремонт;5950000
Россия, Москва, Боровая улица, 6;1;старый;16;монолит;8;34.6;10;есть;14;;11990000
Россия, Москва, Малая Бронная улица, 31/13;6;старый;6;кирпич;4;189;10.6;нет;8;современный ремонт;170000000
